date,city,congestion_level
2026-05-17,Agra,0.53
2026-05-18,Agra,0.37
2026-05-19,Agra,0.38
2026-05-20,Agra,0.43
2026-05-21,Agra,0.5
2026-05-22,Agra,0.34
2026-05-23,Agra,0.52
2026-05-24,Agra,0.23
2026-05-17,Ahmedabad,0.47
2026-05-18,Ahmedabad,0.44
2026-05-19,Ahmedabad,0.53
2026-05-20,Ahmedabad,0.56
2026-05-21,Ahmedabad,0.52
2026-05-22,Ahmedabad,0.65
2026-05-23,Ahmedabad,0.47
2026-05-24,Ahmedabad,0.55
2026-05-17,Ahmednagar,0.48
2026-05-18,Ahmednagar,0.55
2026-05-19,Ahmednagar,0.4
2026-05-20,Ahmednagar,0.48
2026-05-21,Ahmednagar,0.48
2026-05-22,Ahmednagar,0.48
2026-05-23,Ahmednagar,0.52
2026-05-24,Ahmednagar,0.52
2026-05-17,Akola,0.4
2026-05-18,Akola,0.45
2026-05-19,Akola,0.43
2026-05-20,Akola,0.6
2026-05-21,Akola,0.55
2026-05-22,Akola,0.57
2026-05-23,Akola,0.47
2026-05-24,Akola,0.41
2026-05-17,Aligarh,0.59
2026-05-18,Aligarh,0.32
2026-05-19,Aligarh,0.58
2026-05-20,Aligarh,0.56
2026-05-21,Aligarh,0.57
2026-05-22,Aligarh,0.57
2026-05-23,Aligarh,0.48
2026-05-24,Aligarh,0.51
2026-05-17,Allahabad,0.39
2026-05-18,Allahabad,0.25
2026-05-19,Allahabad,0.37
2026-05-20,Allahabad,0.51
2026-05-21,Allahabad,0.47
2026-05-22,Allahabad,0.41
2026-05-23,Allahabad,0.37
2026-05-24,Allahabad,0.33
2026-05-17,Alwar,0.45
2026-05-18,Alwar,0.53
2026-05-19,Alwar,0.47
2026-05-20,Alwar,0.47
2026-05-21,Alwar,0.66
2026-05-22,Alwar,0.48
2026-05-23,Alwar,0.4
2026-05-24,Alwar,0.33
2026-05-17,Amravati,0.73
2026-05-18,Amravati,0.57
2026-05-19,Amravati,0.49
2026-05-20,Amravati,0.56
2026-05-21,Amravati,0.39
2026-05-22,Amravati,0.41
2026-05-23,Amravati,0.46
2026-05-24,Amravati,0.4
2026-05-17,Amritsar,0.33
2026-05-18,Amritsar,0.56
2026-05-19,Amritsar,0.25
2026-05-20,Amritsar,0.33
2026-05-21,Amritsar,0.43
2026-05-22,Amritsar,0.33
2026-05-23,Amritsar,0.37
2026-05-24,Amritsar,0.25
2026-05-17,Anantapur,0.36
2026-05-18,Anantapur,0.52
2026-05-19,Anantapur,0.66
2026-05-20,Anantapur,0.57
2026-05-21,Anantapur,0.57
2026-05-22,Anantapur,0.79
2026-05-23,Anantapur,0.38
2026-05-24,Anantapur,0.34
2026-05-17,Arrah,0.62
2026-05-18,Arrah,0.58
2026-05-19,Arrah,0.34
2026-05-20,Arrah,0.6
2026-05-21,Arrah,0.38
2026-05-22,Arrah,0.52
2026-05-23,Arrah,0.47
2026-05-24,Arrah,0.44
2026-05-17,Asansol,0.49
2026-05-18,Asansol,0.49
2026-05-19,Asansol,0.65
2026-05-20,Asansol,0.58
2026-05-21,Asansol,0.48
2026-05-22,Asansol,0.55
2026-05-23,Asansol,0.36
2026-05-24,Asansol,0.46
2026-05-17,Aurangabad,0.45
2026-05-18,Aurangabad,0.44
2026-05-19,Aurangabad,0.69
2026-05-20,Aurangabad,0.56
2026-05-21,Aurangabad,0.48
2026-05-22,Aurangabad,0.49
2026-05-23,Aurangabad,0.53
2026-05-24,Aurangabad,0.47
2026-05-17,Avadi,0.58
2026-05-18,Avadi,0.44
2026-05-19,Avadi,0.55
2026-05-20,Avadi,0.42
2026-05-21,Avadi,0.39
2026-05-22,Avadi,0.64
2026-05-23,Avadi,0.43
2026-05-24,Avadi,0.51
2026-05-17,Bangalore,0.75
2026-05-18,Bangalore,0.86
2026-05-19,Bangalore,0.73
2026-05-20,Bangalore,0.81
2026-05-21,Bangalore,0.72
2026-05-22,Bangalore,0.88
2026-05-23,Bangalore,0.78
2026-05-24,Bangalore,0.68
2026-05-17,Barasat,0.57
2026-05-18,Barasat,0.51
2026-05-19,Barasat,0.56
2026-05-20,Barasat,0.64
2026-05-21,Barasat,0.51
2026-05-22,Barasat,0.49
2026-05-23,Barasat,0.3
2026-05-24,Barasat,0.56
2026-05-17,Bardhaman,0.43
2026-05-18,Bardhaman,0.39
2026-05-19,Bardhaman,0.51
2026-05-20,Bardhaman,0.56
2026-05-21,Bardhaman,0.46
2026-05-22,Bardhaman,0.59
2026-05-23,Bardhaman,0.4
2026-05-24,Bardhaman,0.36
2026-05-17,Bareilly,0.43
2026-05-18,Bareilly,0.56
2026-05-19,Bareilly,0.54
2026-05-20,Bareilly,0.41
