date,city,rainfall_mm,temperature
2025-12-22,Mumbai,46.7,25.2
2025-12-23,Mumbai,0.0,25.5
2025-12-24,Mumbai,0.0,26.0
2025-12-25,Mumbai,0.0,25.5
2025-12-26,Mumbai,0.0,25.1
2025-12-27,Mumbai,0.0,25.4
2025-12-28,Mumbai,0.0,25.4
2025-12-29,Mumbai,59.551223441255985,25.1
2025-12-22,Delhi,64.2,14.8
2025-12-23,Delhi,33.7,16.7
2025-12-24,Delhi,0.0,16.0
2025-12-25,Delhi,0.0,15.0
2025-12-26,Delhi,0.0,14.7
2025-12-27,Delhi,0.0,14.8
2025-12-28,Delhi,0.0,14.1
2025-12-29,Delhi,50.365472497885435,13.6
2025-12-22,Bangalore,38.5,18.9
2025-12-23,Bangalore,43.4,19.8
2025-12-24,Bangalore,0.0,20.1
2025-12-25,Bangalore,0.0,20.2
2025-12-26,Bangalore,0.0,21.6
2025-12-27,Bangalore,0.0,20.5
2025-12-28,Bangalore,0.0,20.4
2025-12-29,Bangalore,41.521476633211435,20.8
2025-12-22,Hyderabad,0.0,20.7
2025-12-23,Hyderabad,0.0,20.6
2025-12-24,Hyderabad,0.0,20.1
2025-12-25,Hyderabad,0.0,19.9
2025-12-26,Hyderabad,0.0,20.3
2025-12-27,Hyderabad,0.0,20.8
2025-12-28,Hyderabad,0.0,20.2
2025-12-29,Hyderabad,0.0,20.5
2025-12-22,Chennai,0.1,25.2
2025-12-23,Chennai,32.1,24.5
2025-12-24,Chennai,0.0,25.4
2025-12-25,Chennai,0.0,24.5
2025-12-26,Chennai,0.0,25.7
2025-12-27,Chennai,0.0,25.3
2025-12-28,Chennai,0.0,24.9
2025-12-29,Chennai,55.117892199061046,25.2
2025-12-22,Kolkata,0.0,17.9
2025-12-23,Kolkata,44.2,18.4
2025-12-24,Kolkata,0.0,18.2
2025-12-25,Kolkata,0.0,15.5
2025-12-26,Kolkata,0.0,15.8
2025-12-27,Kolkata,0.0,16.9
2025-12-28,Kolkata,0.0,16.1
2025-12-29,Kolkata,0.0,14.3
2025-12-22,Pune,0.0,20.3
2025-12-23,Pune,0.0,20.9
2025-12-24,Pune,0.0,21.7
2025-12-25,Pune,0.0,20.5
2025-12-26,Pune,0.0,20.6
2025-12-27,Pune,0.0,20.6
2025-12-28,Pune,0.0,20.5
2025-12-29,Pune,0.0,20.4
2025-12-22,Ahmedabad,0.0,23.5
2025-12-23,Ahmedabad,0.0,23.3
2025-12-24,Ahmedabad,0.0,23.1
2025-12-25,Ahmedabad,0.0,22.1
2025-12-26,Ahmedabad,0.0,21.8
2025-12-27,Ahmedabad,0.0,21.6
2025-12-28,Ahmedabad,0.0,21.8
2025-12-29,Ahmedabad,0.0,22.0
2025-12-22,Jaipur,0.0,18.9
2025-12-23,Jaipur,0.0,20.6
2025-12-24,Jaipur,0.0,17.5
2025-12-25,Jaipur,0.0,15.9
2025-12-26,Jaipur,0.0,16.2
2025-12-27,Jaipur,0.0,15.2
2025-12-28,Jaipur,0.0,16.4
2025-12-29,Jaipur,0.0,17.2
2025-12-22,Surat,0.0,24.1
2025-12-23,Surat,0.0,25.5
2025-12-24,Surat,0.0,24.6
2025-12-25,Surat,0.0,24.1
2025-12-26,Surat,0.0,24.2
2025-12-27,Surat,0.0,24.2
2025-12-28,Surat,0.0,24.4
2025-12-29,Surat,0.0,24.0
2025-12-22,Lucknow,0.0,14.6
2025-12-23,Lucknow,0.0,15.8
2025-12-24,Lucknow,0.0,16.7
2025-12-25,Lucknow,0.0,15.7
2025-12-26,Lucknow,0.0,15.6
2025-12-27,Lucknow,0.0,15.1
2025-12-28,Lucknow,0.0,14.9
2025-12-29,Lucknow,0.0,14.2
2025-12-22,Kanpur,0.0,13.9
2025-12-23,Kanpur,0.0,15.8
2025-12-24,Kanpur,0.0,16.7
2025-12-25,Kanpur,0.0,14.7
2025-12-26,Kanpur,0.0,14.8
2025-12-27,Kanpur,0.0,15.1
2025-12-28,Kanpur,0.0,15.0
2025-12-29,Kanpur,0.0,13.5
2025-12-22,Nagpur,0.0,18.1
2025-12-23,Nagpur,0.0,18.6
2025-12-24,Nagpur,0.0,18.1
2025-12-25,Nagpur,0.0,19.1
2025-12-26,Nagpur,0.0,18.8
2025-12-27,Nagpur,0.0,19.1
2025-12-28,Nagpur,0.0,18.4
2025-12-29,Nagpur,0.0,18.5
2025-12-22,Indore,0.0,18.9
2025-12-23,Indore,0.0,18.8
2025-12-24,Indore,0.0,18.2
2025-12-25,Indore,0.0,17.6
2025-12-26,Indore,0.0,16.8
2025-12-27,Indore,0.0,16.4
2025-12-28,Indore,0.0,16.7
2025-12-29,Indore,0.0,16.9
2025-12-22,Thane,0.0,24.2
2025-12-23,Thane,0.0,25.0
2025-12-24,Thane,0.0,25.7
2025-12-25,Thane,0.0,25.1
2025-12-26,Thane,0.0,24.8
2025-12-27,Thane,0.0,25.2
2025-12-28,Thane,0.0,25.0
2025-12-29,Thane,0.0,24.8
2025-12-22,Bhopal,0.0,17.7
2025-12-23,Bhopal,0.0,18.6
2025-12-24,Bhopal,0.0,19.2
2025-12-25,Bhopal,0.0,17.1
2025-12-26,Bhopal,0.0,16.4
2025-12-27,Bhopal,0.0,15.8
2025-12-28,Bhopal,0.0,16.1
2025-12-29,Bhopal,0.0,16.1
2025-12-22,Visakhapatnam,0.0,22.1
2025-12-23,Visakhapatnam,0.0,22.0
2025-12-24,Visakhapatnam,0.0,21.8
2025-12-25,Visakhapatnam,0.0,21.9
2025-12-26,Visakhapatnam,0.0,22.2
2025-12-27,Visakhapatnam,0.0,22.6
2025-12-28,Visakhapatnam,0.0,22.2
2025-12-29,Visakhapatnam,0.0,21.9
2025-12-22,Patna,0.0,15.7
2025-12-23,Patna,0.0,15.1
2025-12-24,Patna,0.0,16.0
2025-12-25,Patna,0.0,16.2
2025-12-26,Patna,0.0,15.3
2025-12-27,Patna,0.0,14.2
2025-12-28,Patna,0.0,14.4
2025-12-29,Patna,0.0,13.8
2025-12-22,Vadodara,0.0,23.1
2025-12-23,Vadodara,0.0,23.6
2025-12-24,Vadodara,0.0,22.8
2025-12-25,Vadodara,0.0,22.2
2025-12-26,Vadodara,0.0,22.5
2025-12-27,Vadodara,0.0,22.4
2025-12-28,Vadodara,0.0,22.6
2025-12-29,Vadodara,0.0,22.4
2025-12-22,Ghaziabad,0.0,13.9
2025-12-23,Ghaziabad,0.0,16.4
2025-12-24,Ghaziabad,0.0,15.9
2025-12-25,Ghaziabad,0.0,14.6
2025-12-26,Ghaziabad,0.0,14.1
2025-12-27,Ghaziabad,0.0,14.3
2025-12-28,Ghaziabad,0.0,13.3
2025-12-29,Ghaziabad,0.0,12.6
2025-12-22,Ludhiana,0.0,15.0
2025-12-23,Ludhiana,0.0,15.8
2025-12-24,Ludhiana,0.0,15.4
2025-12-25,Ludhiana,0.0,14.7
2025-12-26,Ludhiana,0.0,14.2
2025-12-27,Ludhiana,0.0,13.5
2025-12-28,Ludhiana,0.0,12.3
2025-12-29,Ludhiana,0.0,11.8
2025-12-22,Agra,0.0,14.7
2025-12-23,Agra,0.0,16.5
2025-12-24,Agra,0.0,16.2
2025-12-25,Agra,0.0,13.8
2025-12-26,Agra,0.0,13.9
2025-12-27,Agra,0.0,13.9
2025-12-28,Agra,0.0,13.2
2025-12-29,Agra,0.0,12.9
2025-12-22,Nashik,0.0,20.0
2025-12-23,Nashik,0.0,20.9
2025-12-24,Nashik,0.0,20.2
2025-12-25,Nashik,0.0,20.1
2025-12-26,Nashik,0.0,19.7
2025-12-27,Nashik,0.0,20.1
2025-12-28,Nashik,0.0,19.9
2025-12-29,Nashik,0.0,19.6
2025-12-22,Faridabad,0.0,14.2
2025-12-23,Faridabad,0.0,16.1
2025-12-24,Faridabad,0.0,15.8
2025-12-25,Faridabad,0.0,15.1
2025-12-26,Faridabad,0.0,14.5
2025-12-27,Faridabad,0.0,14.1
2025-12-28,Faridabad,0.0,13.6
2025-12-29,Faridabad,0.0,12.3
2025-12-22,Meerut,0.0,13.7
2025-12-23,Meerut,0.0,16.1
2025-12-24,Meerut,0.0,15.4
2025-12-25,Meerut,0.0,14.3
2025-12-26,Meerut,0.0,13.9
2025-12-27,Meerut,0.0,13.5
2025-12-28,Meerut,0.0,12.4
2025-12-29,Meerut,0.0,11.8
2025-12-22,Rajkot,0.0,24.9
2025-12-23,Rajkot,0.0,23.8
2025-12-24,Rajkot,0.0,23.4
2025-12-25,Rajkot,0.0,23.3
2025-12-26,Rajkot,0.0,22.9
2025-12-27,Rajkot,0.0,22.9
2025-12-28,Rajkot,0.0,23.1
2025-12-29,Rajkot,0.0,23.2
2025-12-22,Varanasi,0.0,12.8
2025-12-23,Varanasi,0.0,14.0
2025-12-24,Varanasi,0.0,16.2
2025-12-25,Varanasi,0.0,14.7
2025-12-26,Varanasi,0.0,13.9
2025-12-27,Varanasi,0.0,14.8
2025-12-28,Varanasi,0.0,13.3
2025-12-29,Varanasi,0.0,13.9
2025-12-22,Srinagar,1.0,4.6
2025-12-23,Srinagar,0.0,5.1
2025-12-24,Srinagar,0.0,6.3
2025-12-25,Srinagar,0.0,5.5
2025-12-26,Srinagar,0.0,6.1
2025-12-27,Srinagar,0.0,5.1
2025-12-28,Srinagar,0.0,5.8
2025-12-29,Srinagar,0.2,7.0
2025-12-22,Amritsar,0.0,13.8
2025-12-23,Amritsar,0.0,15.7
2025-12-24,Amritsar,0.0,14.8
2025-12-25,Amritsar,0.0,14.1
2025-12-26,Amritsar,0.0,14.9
2025-12-27,Amritsar,0.0,13.6
2025-12-28,Amritsar,0.0,12.4
2025-12-29,Amritsar,0.0,11.5
2025-12-22,Navi Mumbai,0.0,24.7
2025-12-23,Navi Mumbai,0.0,25.4
2025-12-24,Navi Mumbai,0.0,26.0
2025-12-25,Navi Mumbai,0.0,25.2
2025-12-26,Navi Mumbai,0.0,24.8
2025-12-27,Navi Mumbai,0.0,25.2
2025-12-28,Navi Mumbai,0.0,25.2
2025-12-29,Navi Mumbai,0.0,24.8
2025-12-22,Allahabad,0.0,13.0
2025-12-23,Allahabad,0.0,14.0
2025-12-24,Allahabad,0.0,16.4
2025-12-25,Allahabad,0.0,14.4
2025-12-26,Allahabad,0.0,13.9
2025-12-27,Allahabad,0.0,14.8
2025-12-28,Allahabad,0.0,13.2
2025-12-29,Allahabad,0.0,13.4
