city,forecast_date,forecast_risk,forecast_classification,trend
Delhi,2026-05-25,81.0,High,5.32
Pune,2026-05-25,63.6,High,-1.32
Mumbai,2026-05-25,63.0,High,7.57
Bangalore,2026-05-25,61.0,High,4.4
Nashik,2026-05-25,59.9,Medium,2.8
Jaipur,2026-05-25,57.9,Medium,-5.57
Raipur,2026-05-25,56.6,Medium,-9.76
Kolkata,2026-05-25,55.8,Medium,-7.38
Ahmedabad,2026-05-25,54.9,Medium,-1.65
Surat,2026-05-25,53.6,Medium,-5.15
Chennai,2026-05-25,53.2,Medium,1.22
Varanasi,2026-05-25,52.5,Medium,1.77
Jamshedpur,2026-05-25,48.2,Medium,-10.83
Mangalore,2026-05-25,47.5,Medium,-3.97
Navi Mumbai,2026-05-25,47.0,Medium,2.32
Kochi,2026-05-25,46.8,Medium,7.89
Thrissur,2026-05-25,46.2,Medium,0.67
Bardhaman,2026-05-25,45.8,Medium,8.07
Kolhapur,2026-05-25,44.6,Medium,-8.48
Thiruvananthapuram,2026-05-25,44.4,Medium,3.33
Chikkaballapur,2026-05-25,44.4,Medium,6.63
Hubli,2026-05-25,44.4,Medium,-0.56
Dharmapuri,2026-05-25,43.5,Medium,4.67
Mandya,2026-05-25,43.1,Medium,-1.22
Kozhikode,2026-05-25,42.0,Medium,-0.63
Erode,2026-05-25,42.0,Medium,0.88
Nagercoil,2026-05-25,41.8,Medium,-0.93
Mysore,2026-05-25,41.7,Medium,6.06
Bidar,2026-05-25,41.4,Medium,-2.19
Thane,2026-05-25,40.9,Medium,3.93
Bhubaneswar,2026-05-25,40.2,Medium,-3.08
Salem,2026-05-25,40.0,Medium,6.72
Virudhunagar,2026-05-25,40.0,Medium,4.63
Karur,2026-05-25,39.7,Medium,1.03
Belgaum,2026-05-25,39.5,Medium,0.23
Hosur,2026-05-25,39.4,Medium,1.13
Raichur,2026-05-25,39.4,Medium,2.27
Korba,2026-05-25,39.0,Medium,-1.92
Farrukhabad,2026-05-25,38.9,Medium,1.73
Hapur,2026-05-25,38.7,Medium,1.76
Gulbarga,2026-05-25,38.5,Medium,7.65
Udaipur,2026-05-25,38.2,Medium,0.75
Kollam,2026-05-25,38.0,Medium,1.43
Rohtak,2026-05-25,38.0,Medium,0.24
Kanpur,2026-05-25,37.5,Medium,5.15
Tiruppur,2026-05-25,37.2,Medium,3.64
Hyderabad,2026-05-25,37.0,Medium,-2.14
Purnia,2026-05-25,36.8,Medium,5.33
Junagadh,2026-05-25,36.7,Medium,4.87
Tumakuru,2026-05-25,36.4,Medium,6.01
Noida,2026-05-25,36.2,Medium,-1.95
Bellary,2026-05-25,36.1,Medium,7.4
Aligarh,2026-05-25,35.8,Medium,2.04
Sonipat,2026-05-25,35.7,Medium,0.65
Akola,2026-05-25,35.6,Medium,3.29
Dewas,2026-05-25,34.9,Medium,2.01
Avadi,2026-05-25,34.4,Medium,2.16
Nagpur,2026-05-25,34.3,Medium,4.21
Sangli,2026-05-25,34.1,Medium,7.34
